epoch,loss,clean_acc,time
1,4.031045478932998,12.8,10.15895390510559
2,3.4887325288084767,12.24,7.858449220657349
3,3.2041786363362657,20.14,7.75560998916626
4,3.0037126144789674,24.07,8.610943794250488
5,2.8050375783534918,25.64,9.16727066040039
6,2.6514003478047794,27.19,7.548630952835083
7,2.5487911048752574,28.9,7.153651714324951
8,2.470584039492985,16.22,8.052237510681152
9,2.408657643801111,27.27,7.63800573348999
10,2.3841240369450407,30.07,8.177862644195557
11,2.326298277091492,33.3,8.073801755905151
12,2.291979663817169,24.53,7.1470136642456055
13,2.2706512831665977,37.83,8.40904426574707
14,2.243044383995368,32.99,8.146898031234741
15,2.2056101822792114,34.76,8.806344270706177
16,2.1777624044271993,36.38,7.904149532318115
17,2.1695507886769523,29.78,8.795814990997314
18,2.1502986399413984,33.44,7.283983469009399
19,2.125101297407809,38.38,6.118730068206787
20,2.1100497834212946,39.6,6.701889753341675
21,2.085726708097531,38.88,7.286792039871216
22,2.0814898873838925,37.68,8.95261526107788
23,2.080337699112075,40.68,7.6066155433654785
24,2.0586251389340062,39.46,9.18653130531311
25,2.0508213348095983,39.94,8.36841082572937
26,2.0463290001120407,37.29,8.887770414352417
27,2.0341564737012625,38.56,7.052975654602051
28,2.0397068228563078,42.17,8.601449012756348
29,2.0105174575620297,41.16,6.683229446411133
30,2.0088619259007445,40.64,7.954411745071411
31,2.014464432016358,38.67,7.6958909034729
32,2.002273705304431,40.81,9.324519395828247
33,2.0050233809844307,39.08,9.282046794891357
34,1.988632399712682,40.92,9.002950191497803
35,1.9886365400250916,41.37,9.068690776824951
36,1.975585432308714,36.39,9.280925989151001
37,1.9724373829639172,40.21,8.845632314682007
38,1.9836039012655273,40.41,8.91788363456726
39,1.9723901876708125,37.82,8.902786493301392
40,1.959235253846249,42.69,9.49179220199585
41,1.956115683326331,42.74,8.73564624786377
42,1.9638573498372227,39.36,9.469412326812744
43,1.948750497739943,42.84,9.747636795043945
44,1.9445851129644058,39.63,8.78792405128479
45,1.945910330623617,37.11,8.72388505935669
46,1.9418131539888699,39.09,8.543203353881836
47,1.9232054034157482,41.63,8.78516173362732
48,1.9305718213396,42.4,8.708245038986206
49,1.918928022884652,44.43,9.36464548110962
50,1.921919877876711,43.49,9.592013835906982
51,1.9157205347514823,41.78,9.173773288726807
52,1.9154680885012498,40.54,8.758670568466187
53,1.9048341732195881,45.5,8.959404468536377
54,1.8894129839089826,40.84,8.652854919433594
55,1.8956324249277334,37.32,9.076904058456421
56,1.8906170077945874,42.5,8.942146062850952
57,1.8765672411760101,40.84,9.075172424316406
58,1.8758360248087618,41.16,9.030662775039673
59,1.8814386245234849,45.96,8.880251169204712
60,1.8756325473565885,41.25,8.934394836425781
61,1.865218912549031,39.84,9.154643535614014
62,1.867115601249363,39.61,8.859553098678589
63,1.855914762867686,42.46,8.681101083755493
64,1.8430620983738424,44.46,9.017171859741211
65,1.8555904416476978,45.5,8.794703245162964
66,1.8356851022261793,45.58,8.814600229263306
67,1.8418846148664079,42.93,9.019262790679932
68,1.8304327424529874,46.27,9.740028142929077
69,1.8260374331413327,42.47,8.780083417892456
70,1.8177095642480094,43.09,9.305886268615723
71,1.8228912426687567,44.48,9.323423147201538
72,1.813561252925707,39.47,8.869643211364746
73,1.798391942477897,42.42,9.557501554489136
74,1.7980811446524032,41.85,8.707793235778809
75,1.7943599184455774,45.01,8.98458743095398
76,1.7944860949235804,34.67,9.106457710266113
77,1.7783284059265996,47.8,9.504907608032227
78,1.7722827805887402,43.94,9.788902759552002
79,1.7723756552962087,46.68,9.321075201034546
80,1.770879310720107,44.25,9.671256303787231
81,1.7636842794735412,46.35,9.007666826248169
82,1.7487073597090934,43.82,8.520710468292236
83,1.7451789241922482,49.04,9.336140632629395
84,1.734186258157501,45.87,9.486467361450195
85,1.7340998789843391,46.59,10.017589330673218
86,1.7296821558871842,40.5,9.013134479522705
87,1.7060957619601198,46.41,9.08190393447876
88,1.7123449232877064,48.48,9.263161420822144
89,1.7023390940083263,44.44,8.79410433769226
90,1.6925926760334493,45.85,8.90958309173584
91,1.6820850738174165,49.69,9.068580389022827
92,1.6895962026722902,47.33,8.870726346969604
93,1.6832534605279907,48.66,8.859183073043823
94,1.6620144801371544,47.93,8.877853870391846
95,1.665308404456624,47.53,8.981142520904541
96,1.6525141153189227,44.85,8.736148118972778
97,1.6356316521344587,51.02,8.9029860496521
98,1.641593780359039,46.17,9.013829469680786
99,1.6286885375561921,50.5,8.774596452713013
100,1.6176535174669817,50.59,8.670375347137451
101,1.6126260178168412,46.89,8.91080927848816
102,1.6022077564083401,50.8,9.253170013427734
